County,Romanian,Hungarians,Romany,Ukrainians,Germans,Turks,Russians_Lippovans,Tatars,Serbs,Slovaks,Bulgarians,Croats,Greeks,Italians,Jews,Czechs,Poles,Chinese,Armenians,Csango,Macedonians,Another,NumeJudet,Regiune
ab,291850,14831,14287,10,711,16,9,0,0,7,5,3,6,56,19,3,5,7,0,7,0,17,Alba,Centru
ag,571149,209,16472,10,47,66,51,0,16,0,0,0,37,59,13,0,3,6,33,6,5,129,Arges,Sud
ar,340670,36549,16467,1235,2892,28,18,0,823,4436,535,7,7,255,110,110,28,21,6,14,0,322,Arad,Vest
b,1618883,3359,23973,279,1209,2315,913,417,205,33,296,8,704,430,1333,40,160,1032,565,46,278,6879,Municipiul Bucuresti,Bucuresti-Ilfov
bc,558507,4178,15272,21,88,42,28,5,3,0,0,0,28,73,40,0,10,0,29,814,0,271,Bacau,Nord-Est
bh,366245,138202,34636,70,689,41,22,0,20,6060,23,0,40,119,165,0,18,14,6,4,0,367,Bihor,Nord-Vest
bn,247627,14336,11935,39,410,12,15,0,0,0,0,0,3,22,7,0,4,4,0,0,0,37,Bistrita-Nasaud,Nord-Vest
br,291899,52,8555,28,28,181,1935,7,0,0,12,0,177,34,25,0,0,0,10,4,35,57,Braila,Sud-Est
bt,388195,17,4150,652,25,15,404,0,0,0,0,0,12,11,54,0,0,0,21,0,0,46,Botosani,Nord-Est
bv,453325,39650,18519,49,2910,74,80,9,14,5,17,0,69,104,70,4,11,14,7,35,9,351,Brasov,Centru
bz,409316,57,20374,4,17,44,10,0,0,0,0,0,0,25,0,0,0,32,0,0,3,44,Buzau,Sud-Est
cj,520885,103585,22525,157,661,81,51,9,20,47,16,0,74,134,180,7,22,11,63,13,4,1693,Cluj,Nord-Vest
cl,259310,53,22936,3,9,502,14,3,0,0,7,0,4,9,3,0,0,4,17,0,26,48,Calarasi,Sud
cs,243933,2906,7272,2453,2869,14,18,0,5007,182,17,5081,6,25,23,1546,4,3,0,4,0,274,Caras-Severin,Vest
ct,570754,422,8552,73,134,20813,3546,19593,13,4,21,4,250,48,31,0,20,8,254,31,494,630,Constanta,Sud-Est
cv,45021,150468,8264,12,97,5,5,0,0,0,3,0,0,9,11,0,4,0,3,77,0,13,Covasna,Centru
db,470136,127,27346,12,27,45,11,0,457,0,1581,0,30,37,0,0,0,0,0,5,0,118,Dambovita,Sud
dj,594841,175,29832,13,56,38,7,0,91,3,62,0,87,47,60,0,4,0,0,13,133,235,Dolj,Sud-Vest
gj,321686,108,6690,18,17,6,4,0,12,3,0,0,4,22,0,9,0,3,0,0,0,37,Gorj,Sud-Vest
gl,482932,121,16985,43,55,75,175,3,7,0,5,0,152,49,56,0,3,4,29,0,6,449,Galati,Sud-Est
gr,248355,37,15218,0,9,44,6,0,0,0,4,0,3,3,0,0,0,8,3,0,0,44,Giurgiu,Sud
hd,368073,15887,7472,97,955,26,15,0,27,55,12,0,40,101,42,15,49,59,0,13,4,250,Hunedoara,Vest
hr,39190,257707,5322,8,54,4,0,0,3,0,0,0,0,0,0,0,0,0,3,22,0,23,Harghita,Centru
if,341895,233,15634,28,92,523,74,20,3,0,37,0,105,86,109,0,13,671,53,21,59,1010,Ilfov,Bucuresti-Ilfov
il,241765,17,14269,15,3,57,356,0,5,0,0,0,6,14,0,0,3,0,10,0,27,23,Ialomita,Sud
is,703422,118,11276,51,83,67,2838,7,4,0,5,0,189,79,215,0,17,9,12,3,7,1264,Iasi,Nord-Est
mh,236908,144,10917,6,144,39,6,0,983,0,4,0,20,8,9,463,0,16,0,3,0,23,Mehedinti,Sud-Vest
mm,374488,32607,12196,30766,1038,19,12,0,3,7,3,0,4,41,43,0,7,0,4,6,0,164,Maramures,Nord-Vest
ms,277372,200856,46947,23,1444,48,38,3,3,5,12,0,4,45,73,4,9,3,14,8,0,234,Mures,Centru
nt,439834,73,6387,16,63,35,197,0,0,4,0,0,23,50,34,0,0,0,7,4,0,54,Neamt,Nord-Est
ot,400089,51,9499,0,8,25,0,0,0,0,0,0,0,12,0,0,3,0,0,0,3,41,Olt,Sud-Vest
ph,712886,414,17757,6,130,132,39,4,13,0,11,3,63,50,28,0,7,0,9,34,0,132,Prahova,Sud
sb,338505,10882,17946,21,4239,19,57,3,13,3,0,0,26,54,27,0,26,3,15,5,0,343,Sibiu,Centru
sj,148396,50166,15003,22,46,0,5,0,0,1107,0,0,0,30,0,0,0,0,0,11,0,41,Salaj,Nord-Vest
sm,188155,112580,17386,1322,4983,9,4,0,8,117,0,0,0,26,31,20,4,8,0,29,0,72,Satu Mare,Nord-Vest
sv,588358,160,12171,5882,699,27,1713,0,13,0,0,0,19,30,63,0,1908,3,22,0,0,344,Suceava,Nord-Est
tl,180496,56,3418,1068,18,1662,10330,117,3,4,15,0,1176,51,6,0,4,0,55,15,53,121,Tulcea,Sud-Est
tm,550836,35291,14520,5935,8485,109,87,14,10072,1389,4442,224,66,300,210,170,58,23,26,141,40,1371,Timis,Vest
tr,345949,3,8196,0,0,18,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,24,Teleorman,Sud
vl,347806,176,6934,4,46,35,4,0,4,0,3,0,7,18,5,0,0,0,3,0,0,41,Valcea,Sud-Vest
vn,308390,46,11961,4,4,23,3,0,0,0,0,0,3,12,7,0,0,0,8,0,0,99,Vrancea,Sud-Est
vs,364530,35,5900,0,7,9,76,0,0,0,0,0,19,7,12,0,0,4,0,0,0,30,Vaslui,Nord-Est
